Исходный массив: 12 86 38 62 48 66 30 79 7 60 30 48 86 57 62 2 88 30 1 23 43 16 98 16 26 18 21 57 31 81 

Итерация 1: 12 38 62 48 66 30 79 7 60 30 48 86 57 62 2 86 30 1 23 43 16 88 16 26 18 21 57 31 81 | 98 
Итерация 2: 12 38 48 62 30 66 7 60 30 48 79 57 62 2 86 30 1 23 43 16 86 16 26 18 21 57 31 81 | 88 98 
Итерация 3: 12 38 48 30 62 7 60 30 48 66 57 62 2 79 30 1 23 43 16 86 16 26 18 21 57 31 81 | 86 88 98 
Итерация 4: 12 38 30 48 7 60 30 48 62 57 62 2 66 30 1 23 43 16 79 16 26 18 21 57 31 81 | 86 86 88 98 
Итерация 5: 12 30 38 7 48 30 48 60 57 62 2 62 30 1 23 43 16 66 16 26 18 21 57 31 79 | 81 86 86 88 98 
Итерация 6: 12 30 7 38 30 48 48 57 60 2 62 30 1 23 43 16 62 16 26 18 21 57 31 66 | 79 81 86 86 88 98 
Итерация 7: 12 7 30 30 38 48 48 57 2 60 30 1 23 43 16 62 16 26 18 21 57 31 62 | 66 79 81 86 86 88 98 
Итерация 8: 7 12 30 30 38 48 48 2 57 30 1 23 43 16 60 16 26 18 21 57 31 62 | 62 66 79 81 86 86 88 98 
Итерация 9: 7 12 30 30 38 48 2 48 30 1 23 43 16 57 16 26 18 21 57 31 60 | 62 62 66 79 81 86 86 88 98 
Итерация 10: 7 12 30 30 38 2 48 30 1 23 43 16 48 16 26 18 21 57 31 57 | 60 62 62 66 79 81 86 86 88 98 
Итерация 11: 7 12 30 30 2 38 30 1 23 43 16 48 16 26 18 21 48 31 57 | 57 60 62 62 66 79 81 86 86 88 98 
Итерация 12: 7 12 30 2 30 30 1 23 38 16 43 16 26 18 21 48 31 48 | 57 57 60 62 62 66 79 81 86 86 88 98 
Итерация 13: 7 12 2 30 30 1 23 30 16 38 16 26 18 21 43 31 48 | 48 57 57 60 62 62 66 79 81 86 86 88 98 
Итерация 14: 7 2 12 30 1 23 30 16 30 16 26 18 21 38 31 43 | 48 48 57 57 60 62 62 66 79 81 86 86 88 98 
Итерация 15: 2 7 12 1 23 30 16 30 16 26 18 21 30 31 38 | 43 48 48 57 57 60 62 62 66 79 81 86 86 88 98 
Итерация 16: 2 7 1 12 23 16 30 16 26 18 21 30 30 31 | 38 43 48 48 57 57 60 62 62 66 79 81 86 86 88 98 
Итерация 17: 2 1 7 12 16 23 16 26 18 21 30 30 30 | 31 38 43 48 48 57 57 60 62 62 66 79 81 86 86 88 98 
Итерация 18: 1 2 7 12 16 16 23 18 21 26 30 30 | 30 31 38 43 48 48 57 57 60 62 62 66 79 81 86 86 88 98 
Итерация 19: 1 2 7 12 16 16 18 21 23 26 30 | 30 30 31 38 43 48 48 57 57 60 62 62 66 79 81 86 86 88 98 
Итерация 20: 1 2 7 12 16 16 18 21 23 26 | 30 30 30 31 38 43 48 48 57 57 60 62 62 66 79 81 86 86 88 98 
Итерация 21: 1 2 7 12 16 16 18 21 23 | 26 30 30 30 31 38 43 48 48 57 57 60 62 62 66 79 81 86 86 88 98 
Итерация 22: 1 2 7 12 16 16 18 21 | 23 26 30 30 30 31 38 43 48 48 57 57 60 62 62 66 79 81 86 86 88 98 
Итерация 23: 1 2 7 12 16 16 18 | 21 23 26 30 30 30 31 38 43 48 48 57 57 60 62 62 66 79 81 86 86 88 98 
Итерация 24: 1 2 7 12 16 16 | 18 21 23 26 30 30 30 31 38 43 48 48 57 57 60 62 62 66 79 81 86 86 88 98 
Итерация 25: 1 2 7 12 16 | 16 18 21 23 26 30 30 30 31 38 43 48 48 57 57 60 62 62 66 79 81 86 86 88 98 
Итерация 26: 1 2 7 12 | 16 16 18 21 23 26 30 30 30 31 38 43 48 48 57 57 60 62 62 66 79 81 86 86 88 98 
Итерация 27: 1 2 7 | 12 16 16 18 21 23 26 30 30 30 31 38 43 48 48 57 57 60 62 62 66 79 81 86 86 88 98 
Итерация 28: 1 2 | 7 12 16 16 18 21 23 26 30 30 30 31 38 43 48 48 57 57 60 62 62 66 79 81 86 86 88 98 
Итерация 29: 1 | 2 7 12 16 16 18 21 23 26 30 30 30 31 38 43 48 48 57 57 60 62 62 66 79 81 86 86 88 98 
